person_id,date,lat,lon,precision,score,tmax
91204,2022-07-15,,,range,0.818,44.61
91204,2022-07-16,,,range,0.818,45.6
91204,2022-07-17,,,range,0.818,44.08
91204,2022-07-18,,,range,0.818,42.43
91204,2022-07-19,,,range,0.818,43.93
91204,2022-07-20,,,range,0.818,43.76
91204,2022-07-21,,,range,0.818,43.36
91204,2022-07-22,,,range,0.818,45.08
91205,2022-07-15,,,range,0.82,44.61
91205,2022-07-16,,,range,0.82,45.61
91205,2022-07-17,,,range,0.82,44.08
91205,2022-07-18,,,range,0.82,42.41
91205,2022-07-19,,,range,0.82,43.95
91205,2022-07-20,,,range,0.82,43.77
91205,2022-07-21,,,range,0.82,43.36
91205,2022-07-22,,,range,0.82,45.08
91206,2022-07-15,,,range,0.74,42.89
91206,2022-07-16,,,range,0.74,42.0
91206,2022-07-17,,,range,0.74,41.43
91206,2022-07-18,,,range,0.74,40.72
91206,2022-07-19,,,range,0.74,40.93
91206,2022-07-20,,,range,0.74,40.69
91206,2022-07-21,,,range,0.74,41.24
91206,2022-07-22,,,range,0.74,42.04
